date,exchange,open,high,low,inflation
2022-12-30,3425,3444,3444,3444,13.214
2022-12-29,3415,3443.5,3443.5,3438,13.214
2022-12-28,3413,3442,3450.5,3423,13.214
2022-12-27,3400,3445.5,3445.5,3425,13.214
2022-12-26,3410,3434,3437,3432,13.214
2022-12-23,3414,3435,3442,3434,13.214
2022-12-22,3415,3442,3442,3435,13.214
2022-12-21,3420,3436,3442,3435,13.214
2022-12-20,3422,3436,3436,3436,13.214
2022-12-19,3422,3436,3436,3436,13.214
2022-12-16,3403,3434.5,3434.5,3425,13.214
2022-12-15,3400,3436.5,3436.5,3425,13.214
2022-12-14,3405,3434.5,3437,3425,13.214
2022-12-13,3400,3425,3427.5,3422.5,13.214
2022-12-12,3417,3431,3431,3431,13.214
2022-12-09,3405,3425,3425,3425,13.214
2022-12-08,3407,3429,3429,3425,13.214
2022-12-07,3407,3422.5,3434.5,3413.5,13.214
2022-12-06,3400,3431,3431,3425,13.214
2022-12-05,3400,3428,3431.5,3424.5,13.214
2022-12-02,3400,3429,3429.5,3424.5,13.214
2022-12-01,3406,3429.5,3429.5,3424.5,13.214
2022-11-30,3400,3428,3429.5,3423.5,14.536
2022-11-29,3401,3426,3429,3423,14.536
2022-11-28,3403,3424.5,3427,3422.5,14.536
2022-11-25,3400,3424.5,3424.5,3422.5,14.536
2022-11-23,3400,3415.5,3423,3415.5,14.536
2022-11-22,3398,3416,3420.5,3412.5,14.536
2022-11-21,3390,3416,3417.5,3412.5,14.536
2022-11-18,3395,3416,3417.5,3416,14.536
2022-11-17,3395,3416.5,3418,3415.5,14.536
2022-11-16,3391,3417.5,3417.5,3406,14.536
2022-11-15,3406,3418,3419,3405,14.536
2022-11-14,3406,3417.5,3417.5,3404.5,14.536
2022-11-11,3405,3417.5,3417.5,3405,14.536
2022-11-10,3408,3405.5,3408.5,3405,14.536
2022-11-09,3410,3415.5,3418,3408,14.536
2022-11-08,3407,3407,3408,3406,14.536
2022-11-07,3407,3411.5,3416,3407,14.536
2022-11-04,3407,3411.5,3411.5,3407,14.536
2022-11-03,3408.5,3410.5,3411.5,3406,14.536
2022-11-02,3410,3411.5,3412.5,3407.5,14.536
2022-11-01,3413,3403,3413,3402.5,14.536
2022-10-31,3385,3403,3405,3403,14.524
2022-10-28,3378,3401.5,3401.5,3401.5,14.524
2022-10-27,3375,3398,3400,3398,14.524
2022-10-26,3373,3400.5,3400.5,3397,14.524
2022-10-25,3373,3397,3397,3397,14.524
2022-10-24,3373,3395,3398,3395,14.524
2022-10-21,3370,3397,3397,3395,14.524
2022-10-20,3397,3392.5,3397,3389.5,14.524
2022-10-19,3390,3390,3395,3390,14.524
2022-10-18,3390,3388.5,3391,3387.5,14.524
2022-10-17,3390,3389,3391.5,3385,14.524
2022-10-14,3385,3388,3388,3385,14.524
2022-10-13,3388,3367,3391,3361,14.524
2022-10-12,3380,3360,3384.5,3357.5,14.524
2022-10-11,3326,3360,3360,3326,14.524
2022-10-10,3327,3325,3327,3325,14.524
2022-10-07,3325,3325,3325,3325,14.524
2022-10-06,3325,3326,3327,3324,14.524
2022-10-05,3326,3322.5,3326.5,3322.5,14.524
2022-10-04,3325,3338,3338,3325,14.524
2022-10-03,3325,3351.5,3352,3325,14.524
2022-09-30,3320,3326.5,3339.5,3320,14.423
2022-09-29,3325,3330.5,3333,3320,14.423
2022-09-28,3320,3306.5,3328,3295,14.423
2022-09-27,3320,3295,3320,3295,14.423
2022-09-26,3295,3269.5,3306.5,3269.5,14.423
2022-09-23,3295,3298.5,3301,3292.5,14.423
2022-09-22,3295,3270.5,3297.5,3255,14.423
2022-09-21,3255,3265.5,3271,3252.5,14.423
2022-09-20,3255,3268,3271.5,3255,14.423
2022-09-19,3249,3255,3262,3255,14.423
2022-09-16,3235,3246.5,3255,3242.5,14.423
2022-09-15,3245,3240,3249,3240,14.423
2022-09-14,3240,3232.5,3244.5,3230.5,14.423
2022-09-13,3240,3232.5,3243.5,3230.5,14.423
2022-09-12,3220,3233.5,3240.5,3232.5,14.423
2022-09-09,3205,3223.5,3225.5,3223.5,14.423
2022-09-08,3214.5,3230,3230,3214.5,14.423
2022-09-07,3206,3227,3227.5,3214,14.423
2022-09-06,3215,3221,3221,3215,14.423
2022-09-05,3198,3215,3222,3215,14.423
2022-09-02,3215,3223.5,3224,3214,14.423
2022-09-01,3217,3223.5,3224,3215,14.423
2022-08-31,3215,3220,3224,3215,14.531
2022-08-30,3222.5,3223,3224,3221.5,14.531
2022-08-29,3223,3207,3223,3207,14.531
2022-08-26,3220,3207.5,3220,3180,14.531
2022-08-25,3180,3212,3212,3180,14.531
2022-08-24,3185,3212,3212,3185,14.531
2022-08-23,3190,3197.5,3207,3185,14.531
2022-08-22,3187.5,3208,3208,3187.5,14.531
2022-08-19,3192.5,3197.5,3207,3190,14.531
2022-08-18,3192,3199.5,3202.5,3187.5,14.531
2022-08-17,3190,3199,3202.5,3187.5,14.531
2022-08-16,3190,3200.5,3200.5,3190,14.531
2022-08-15,3200.5,3199,3201.5,3192.5,14.531
2022-08-12,3195,3196,3196,3195,14.531
2022-08-11,3196,3192.5,3200,3192.5,14.531
2022-08-10,3195,3194.5,3195,3194.5,14.531
2022-08-09,3195,3179.5,3196,3177,14.531
2022-08-08,3175,3180,3180,3175,14.531
2022-08-05,3179.5,3187.5,3187.5,3177.5,14.531
2022-08-04,3190,3193,3194.5,3190,14.531
2022-08-03,3190,3191,3193,3188.5,14.531
2022-08-02,3190,3169,3197,3164.5,14.531
2022-08-01,3185,3193.5,3195,3185,14.531
2022-07-29,3193.5,3195,3200,3193.5,15.659
2022-07-28,3195,3161.5,3195,3161.5,15.659
2022-07-27,3150,3158.5,3160.5,3158,15.659
2022-07-26,3148,3157,3157,3156.5,15.659
2022-07-25,3147,3151,3155,3151,15.659
2022-07-22,3142,3142.5,3151,3142.5,15.659
2022-07-18,3141,3142.5,3148,3142.5,15.659
2022-07-13,3135,3142.5,3142.5,3142.5,15.659
2022-07-11,3135,3142.5,3142.5,3142.5,15.659
2022-07-08,3135,3140.5,3142.5,3140.5,15.659
2022-07-07,3135,3140.5,3142,3140.5,15.659
2022-07-06,3134,3142,3142,3140.5,15.659
2022-07-05,3130,3150,3150,3150,15.659
2022-06-29,3145,3145,3145,3145,16.075
2022-06-28,3146,3143.5,3146,3143.5,16.075
2022-06-27,3143.5,3134.5,3145,3132.5,16.075
2022-06-24,3139,3139,3139,3139,16.075
2022-06-23,3130,3133,3136,3127.5,16.075
2022-06-22,3130,3134.5,3138,3127.5,16.075
2022-06-21,3125,3135.5,3135.5,3125,16.075
2022-06-17,3130,3130,3130,3130,16.075
2022-06-16,3135,3136,3136,3135,16.075
2022-06-15,3135.5,3135.5,3135.5,3135.5,16.075
2022-06-14,3135,3135,3137.5,3135,16.075
2022-06-13,3135,3135,3137.5,3132.5,16.075
2022-06-10,3130,3130,3130,3130,16.075
2022-06-09,3110,3125,3132.5,3125,16.075
2022-06-07,3130,3130,3130,3130,16.075
2022-06-06,3110,3130,3132.5,3127.5,16.075
2022-06-03,3109,3129.5,3129.5,3129.5,16.075
2022-06-02,3125,3132,3132,3125,16.075
2022-06-01,3130,3130,3132.5,3127.5,16.075
2022-05-31,3125,3117.5,3130.5,3112,15.151
2022-05-30,3114,3119,3119,3119,15.151
2022-05-27,3137.5,3139.5,3142.5,3135,15.151
2022-05-26,3135,3138.5,3139.5,3132.5,15.151
2022-05-25,3136,3135,3136,3135,15.151
2022-05-24,3138.5,3139.5,3142,3135,15.151
2022-05-23,3136.5,3139.5,3142,3135,15.151
2022-05-20,3140,3139.5,3142,3137.5,15.151
2022-05-19,3135,3130,3139,3130,15.151
2022-05-18,3136,3136,3136,3136,15.151
2022-05-17,3132.5,3126,3135,3125,15.151
2022-05-16,3130,3123.5,3131,3122.5,15.151
2022-05-13,3125,3123.5,3126,3122.5,15.151
2022-05-12,3120,3117,3122.5,3116,15.151
2022-05-11,3121.5,3117,3121.5,3117,15.151
2022-05-10,3115,3105,3115,3105,15.151
2022-05-09,3110,3110,3112.5,3107.5,15.151
2022-05-06,3114.5,3106.5,3114.5,3106,15.151
2022-05-05,3105,3102,3108,3102,15.151
2022-05-04,3106,3103.5,3106,3103.5,15.151
2022-05-03,3102.5,3102.5,3106,3102.5,15.151
2022-05-02,3100,3103.5,3106,3100,15.151
2022-04-29,3105,3094.5,3105,3094.5,14.396
2022-04-28,3100,3092,3100,3090,14.396
2022-04-27,3090,3081.5,3092,3081.5,14.396
2022-04-26,3085,3081.5,3086.5,3080,14.396
2022-04-25,3075,3073.5,3080.5,3070,14.396
2022-04-22,3057,3071,3073.5,3067.5,14.396
2022-04-21,3060,3071,3071,3060,14.396
2022-04-20,3064,3064.5,3070,3058.5,14.396
2022-04-19,3055,3062,3064.5,3055,14.396
2022-04-18,3042,3058.5,3061,3052.5,14.396
